,level_0,index,URLS,Title,OverAll,Time,Rank,
57,57,987,https://www.tripadvisor.com//Attraction_Review-g293995-d19195426-Reviews-Riyadh_Avenue_Mall-Riyadh_Riyadh_Province.html,['Riyadh Avenue Mall'],['3.0 of 5 bubbles. 3 reviews'],9AM–1AM,['#67,88 things to do in Riyadh']
58,58,990,https://www.tripadvisor.com//Attraction_Review-g293995-d8745836-Reviews-Strike_Bowling_Alley-Riyadh_Riyadh_Province.html,['Strike Bowling Alley'],['5.0 of 5 bubbles. 360 reviews'],['4:00 PM - 12:00 AM'],['#1,30 Fun & Games in Riyadh']
59,59,1357,https://www.tripadvisor.com//Attraction_Review-g293995-d5053663-Reviews-Edge_of_The_World-Riyadh_Riyadh_Province.html,['Edge of The World'],['5.0 of 5 bubbles. 337 reviews'],['12:00 AM - 11:59 PM'],['#1,46 Outdoor Activities in Riyadh']
60,64,1395,https://www.tripadvisor.com//Attraction_Review-g293995-d10338061-Reviews-Escape_Arabia-Riyadh_Riyadh_Province.html,['Escape Arabia'],['4.5 of 5 bubbles. 53 reviews'],['12:00 PM - 12:00 AM'],['#3,30 Fun & Games in Riyadh']
61,65,1401,https://www.tripadvisor.com//Attraction_Review-g293995-d6570962-Reviews-Red_Sand_Dunes-Riyadh_Riyadh_Province.html,['Red Sand Dunes'],['4.5 of 5 bubbles. 73 reviews'],['7:00 AM - 8:00 PM'],['#23,88 things to do in Riyadh']
62,67,1413,https://www.tripadvisor.com//Attraction_Review-g293995-d7112613-Reviews-Centria-Riyadh_Riyadh_Province.html,['Centria'],['4.5 of 5 bubbles. 41 reviews'],9AM–1AM,['#9,84 Shopping in Riyadh']
63,69,1425,https://www.tripadvisor.com//Attraction_Review-g293995-d21291307-Reviews-Sokoun_Ladies_and_Gents_Spa-Riyadh_Riyadh_Province.html,['Sokoun Ladies and Gents Spa'],['5.0 of 5 bubbles. 17 reviews'],['9:00 AM - 11:00 PM'],['#1,10 Spas & Wellness in Riyadh']
64,71,1434,https://www.tripadvisor.com//Attraction_Review-g293995-d1998260-Reviews-Firstaiment-Riyadh_Riyadh_Province.html,['Firstaiment'],['4.0 of 5 bubbles. 43 reviews'],['4:00 PM - 11:00 PM'],['#4,29 Fun & Games in Riyadh']
65,72,1440,https://www.tripadvisor.com//Attraction_Review-g293995-d8107119-Reviews-Universal_Bowling_Center_UBC-Riyadh_Riyadh_Province.html,['Universal Bowling Center (UBC)'],['4.0 of 5 bubbles. 25 reviews'],4PM–1:30AM,['#6,30 Fun & Games in Riyadh']
66,73,1446,https://www.tripadvisor.com//Attraction_Review-g293995-d4012161-Reviews-Kingdom_Dates-Riyadh_Riyadh_Province.html,['Kingdom Dates'],['4.0 of 5 bubbles. 26 reviews'],"9:30–11:30AM
4:30–11PM",['#12,84 Shopping in Riyadh']
67,74,1452,https://www.tripadvisor.com//Attraction_Review-g293995-d10798681-Reviews-Al_Faisaliah_Spa_by_ESPA-Riyadh_Riyadh_Province.html,['Al Faisaliah Spa by ESPA'],['4.5 of 5 bubbles. 20 reviews'],['7:00 AM - 11:00 PM'],['#2,10 Spas & Wellness in Riyadh']
68,76,1464,https://www.tripadvisor.com//Attraction_Review-g293995-d23599551-Reviews-Syrup_Stage-Riyadh_Riyadh_Province.html,['Syrup Stage'],['5.0 of 5 bubbles. 6 reviews'],['9:00 AM - 10:00 PM'],['#1,5 Nightlife in Riyadh']
69,80,1485,https://www.tripadvisor.com//Attraction_Review-g293995-d11798092-Reviews-Ahaji-Riyadh_Riyadh_Province.html,['Ahaji'],['4.5 of 5 bubbles. 12 reviews'],5–11:30PM,['#7,30 Fun & Games in Riyadh']
70,81,1491,https://www.tripadvisor.com//Attraction_Review-g293995-d21238125-Reviews-Doos-Riyadh_Riyadh_Province.html,['Doos'],['5.0 of 5 bubbles. 4 reviews'],['4:00 PM - 12:00 AM'],['#8,30 Fun & Games in Riyadh']
